ID,Company,Approval Memo,Type of Company ,Incubaton Track,Industry,Country of Origin,Funding Stage,Funding Since Joining QSTP,Sources of Funding,Status,Program Join Date,Graduation Date,Place of Incorporation,Registration Status,Date of Incorporation,Lease / Incubation Agreement,Agreement Signing Date,Agreement Start Date, Agreement Expiry Date,QSTP License Status,License Release Date,License Expiry Date,Location,Leased Space, Total Employees, Qatari Employees, Male Employees, Female Employees,"Researchers, Scientists, Engineers (RSE)", Qatari RSE, Male RSE, Female RSE,  Investment (2024) , Revenue (2024),"a
", Additional Information,Remarks,Founder / Licensee Manager,Email,Report Date,Approval Memo Status2,Registration Status CR,Registration (MOCI/QFC),CR Status,Lease / Incubation Agreement Status,Agreement Start Date2,Agreement Expiry Date, License,Remarks/ Registration,Registration Satus ,Step 1 (doc & Info recive ),Step 2,Step 3 (CR) ,Step 4
1,ExxonMobil Research Qatar Limited QSTP-B,09-May-06,Enterprise,NA,EnergyTech,The Bahamas,NA,,NA,Active,,,QSTP,Completed,09-May-06,Completed,20-Nov-07,,28-Feb-28,Completed,01-Mar-24,28-Feb-26,"Tech2 Units 101, 102 & 103","Tech2 Units 101, 102 & 103",43,6,31,12,12,3,10,2," 18,271,407 ", -   ,"EMRQ conducts research in areas of common interest to the State of Qatar and ExxonMobil through its four focus areas Environmental Management, Water Reuse, LNG Technology and Surface Geology. This research will become increasingly important as Qatar continues to develop the world’s largest integrated gas processing and liquefaction facilities.",,,Easa Ismail A A Al-Musleh,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
2,Qatar Shell Research & Technology Centre QSTP-LLC,06-Jun-06,Enterprise,NA,EnergyTech,Netherlands,NA,,NA,Active,,,QSTP,Completed,06-Jun-06,Completed,25-Feb-07,,31-Aug-28,Completed,01-Jul-23,30-Jun-26,"Tech1 Units 101, 102 & 103","Tech1 Units 101, 102 & 103",12,4,8,4,9,1,7,2," 30,557,800 "," 29,747,720 ","Qatar Shell Research and Technology Center (QSRTC) represents Shell’s global research and development (R&D) in Qatar, delivering projects related to Gas-to-X. Gas in GTX can be CO2, CH4 or C2​H6​; X can be LNG, GTL, chemicals or other products. The center takes a portfolio approach to Gas-to-X with equal efforts spent on: Existing Assets (Pearl GTL and LNG) and Future Assets (for example, H2).",,,Misfer Saleh H Al-Bidaiwi ,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
3,Total E&P Golfe Limited QSTP-B,04-Jul-06,Enterprise,NA,EnergyTech,France,NA,,NA,Active,,,QSTP,Completed,04-Jul-06,Completed,06-Mar-07,,Pending,Completed,01-Jul-23,30-Jun-26,IC Units 326 & 336,IC Units 326 & 336,8,1,5,3,6,0,3,3," 9,681,705 ", -   ,"Total is proud of its special partnership with the State of Qatar, and is committed to supporting Qatar’s development strategies. Programs running at TRC-Q are in the field of Acid Stimulation, Organic Geochemistry, Sustainable Development in fields such as: solar energy, biomonitoring of sea water (valvometry), restoration of marine habitats (corals reefs), biodiversity, CCUS and Gas conversion.",,,Yousef Mohammed Al-Jaber ,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
4,iHorizons QSTP-LLC,19-Nov-06,Enterprise,NA,Software Service,Qatar,NA,,NA,Active,,,QSTP,Completed,19-Nov-06,Completed,25-Nov-09,,30-Sep-26,Completed,01-Oct-25,30-Sep-26,IC Unit 357,IC Unit 357,41,0,36,5,37,0,32,5," 4,020,305 "," 4,919,726 ","iHorizons is a Qatari software company, with offices throughout the region, specializing in the development of e-business applications and software solutions. It is establishing a research and development subsidiary at QSTP that will engineer applications in new markets such as Arabic language technologies, wireless services, bioinformatics and corporate knowledge tools. ",,,Muhammad Takriti ,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
5,Microsoft QSTP-LLC,27-Feb-07,Enterprise,NA,Software Service,United States,NA,,NA,Active,,,QSTP,Completed,27-Feb-07,Completed,18-Jan-09,,31-Dec-27,Completed,01-Jan-25,31-Dec-25,Tech2 Unit 205,Tech2 Unit 205,17,0,15,2,17,0,15,2,, Report Not Submitted ,"Microsoft is the worldwide leader in software, services and Internet technologies for personal and business computing. Its projects at QSTP revolve around research & development and technical training. Microsoft will dedicate its R&D efforts to the implementation of E-Health and E-Learning in Qatar and the region. Training includes the Microsoft IT Academy and other projects that empower the local community with the knowledge and the skills for using technology.",,,Lana Khalaf,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
6,Cisco QSTP-LLC,02-Jan-08,Enterprise,NA,Cybersecurity,Netherlands,NA,,NA,Active,,,QSTP,Completed,02-Jan-08,Completed,01-May-08,,31-Oct-26,Completed,01-Apr-23,31-Mar-26,Tech2 Units 110 & 111,Tech2 Units 110 & 111,72,2,59,13,21,0,17,4," 74,294,311 "," 78,557,772 ","Cisco Qatar has worked strategically alongside its channel partners to develop a secure, automated and intelligent network for the nation’s evolving digital landscape. Through its presence at QSTP and global leadership in the networking industry, Cisco strives to help the country achieve a strong ICT future, built on a resilient and sustainable infrastructure. Across security, defense, transportation, banking, healthcare, sports, communications, retail and government services (among others), Cisco solutions are central to Qatar’s digitization journey.",,,Hasan Khan Rashid Khan ,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
7,MEEZA QSTP-LLC (Public),09-Mar-08,Enterprise,NA,TelecomTech,Qatar,NA,,NA,Active,,,QSTP,Completed,09-Mar-08,Completed,01-Jul-08,,31-Oct-27,Completed,01-May-24,31-Oct-27,Tech2 Unit 204,Tech2 Unit 204,348,8,299,49,49,0,48,1," 264,894,000 "," 413,015,000 ",MEEZA is an end-to-end Managed IT Services and Solutions Provider that is becoming a recognized Systems Integrator. MEEZA has a network of three Tier III certified data centers called M-VAULTs that are highly resilient and geographically diverse. These interconnected M-VAULTs uniquely position MEEZA to offer disaster recovery and business continuity services.,,,Mohsin Nasser M A Al-Marri ,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
8,Fuego Digital Media QSTP-LLC,10-Mar-08,Enterprise,NA,Software Service,Qatar,NA,,NA,Active,,,QSTP,Completed,10-Mar-08,Completed,19-Nov-25,,31/12/25,Completed,01-Jan-23,31-Dec-25,IC Unit 352,IC Unit 352,5,0,5,0,4,0,4,0,, Report Not Submitted ,"Fuego was among the first companies to join QSTP in 2008 and was the first recipient the QSTP Proof of Concept Fund (POC) to bring North American Internet and Web Technology to Qatar and the Middle East. The Fuego Content Management System and Frameworks had been delivering high quality and performance websites, portals and apps to hundreds of customers in North America for many years. The target was to localize it to the region with the Arabic language. This target was rapidly achieved at QSTP.",,,Karl Richard Gretton,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
9,ConocoPhillips Water Technology Ltd QSTP-B,16-Oct-08,Enterprise,NA,ClimateTech,The Bahamas,NA,,NA,Active,,,QSTP,Completed,16-Oct-08,Completed,01-Jan-08,,31-Dec-28,Completed,1/1/20223,31-Dec-25,Tech2 Units 108 & 109,Tech2 Units 108 & 109,8,3,5,3,8,3,5,3," 21,535,627 "," 1,660,695 ","The ConocoPhillips Global Water Sustainability Center (GWSC) is the designated Center of Excellence for water-related technologies, disseminating findings to the company’s global operations, as well as local government and industry partners.

The Water Visitor Center at GWSC promotes water conservation awareness at the community level.
The GWSC’s focus areas are: Research & Technology, Operations Support & Sustainable Outreach",,,Samer Said Adham,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
10,Qatar University QSTP-B (QMIC),25-Nov-08,Enterprise,NA,MobilityTech,Qatar,NA,,NA,Active,,,QSTP,Completed,25-Nov-08,Completed,01-Jul-09,,31-Dec-25,Completed,01-Jan-25,31-Dec-26,Tech2 Unit 201,Tech2 Unit 201,40,3,34,6,9,0,9,0,, Report Not Submitted ,Qatar Mobility Innovations Center (QMIC) is the first independent innovations center in the region with a focus on developing and deploying smart mobility systems and services. QMIC’s main goal is to create and deploy local mobility innovations and contribute towards building knowledge-based industries that address challenges and mega projects in Qatar and the region. QMIC is working closely with key national partners and stakeholders to realize a market-focused innovations ecosystem in Qatar.,,,Mohammed Abdulaziz A A Al-Sada,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
11,Precision Cellular Storage QSTP-LLC ,02-Dec-08,Enterprise,NA,HealthTech,Qatar,NA,,NA,Active,,,QSTP,Completed,02-Dec-08,Completed,01-Apr-10,,31-Mar-30,Completed,01-Apr-23,31-Mar-26,Tech2 Unit 112,Tech2 Unit 112,3,0,2,1,0,0,0,0," 45,396 "," 77,350 ",Precision Cellular Storage supports personalized healthcare by operating a cryogenic storage facility for long-term storage of precious biological samples.,,,Mark Brian Fuller ,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
12,Gulf Organization for Research & Development QSTP- LLC,10-May-09,Enterprise,NA,ClimateTech,Qatar,NA,,NA,Active,,,QSTP,Completed,10-May-09,Completed,10-Jan-10,,30-Sep-27,Completed,01-Oct-23,30-Sep-26,"Tech1 Units 203, 207, 208 & 209","Tech1 Units 203, 207, 208 & 209",83,1,67,16,17,1,14,3," 58,939,511 "," 63,002,190 ",E-BLE,,,Yousef Mohamed Y I Al-Horr,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
13,GBI QSTP-LLC,16-Jul-09,Enterprise,NA,TelecomTech,British Virgin Islands,NA,,NA,Active,,,QSTP,Completed,16-Jul-09,Completed,01-Oct-09,,31-Dec-25,Completed,01-Jan-24,31-Dec-25,Tech1 Units 201 &202,Tech1 Units 201 &202,47,5,39,8,14,0,14,0,, Report Not Submitted ,"GBI is a global cloud, connectivity and content enabler that owns and operates a smart, fully managed service network.
Their multilayer terrestrial and subsea cable meshed network bridges the East to the West through the Middle East, empowers businesses, connects societies and contributes to the region’s transformation towards knowledge-based economies. ",,,Ahmad Mohamed Y R Al-Kuwari,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
14,QNEXUS QSTP-LLC,10-Dec-09,Enterprise,NA,EnergyTech,Qatar,NA,,NA,Active,,,QSTP,Completed,10-Dec-09,Completed,21-Jul-10,,31-Jul-27,Completed,01-Apr-25,31-Jul-26,IC Unit 335,IC Unit 335,5,0,3,2,3,0,1,2," 5,600,408 "," 5,367,294 ","QNexus is a technology services and solutions provider for the energy industry in Qatar, enabling operations in real-time.
QNexus QSTP-LLC is developing and commercializing connectivity solutions, network technology, industry software applications and management systems that truly enable real-time, integrated, “E-Field” operations for oil and gas companies in Qatar and the Gulf.",,,Kurt Kvennejorde,,,Completed,Completed (QSTP),QSTP,Completed,Completed,,,Completed,Registered Under QSTP,Completed,Completed,Completed,Completed,Completed
